mode,sample_id,control,score
2d,train__c27__user1__5-1-1,left_right_swap,0.6655094207475093
2d,train__c27__user1__5-1-2,positive_same_trial,0.8709396156470759
2d,train__c27__user1__5-1-2,same_action_other_trial,0.8703515428410739
2d,train__c27__user1__5-1-2,different_action,0.7764895725357257
2d,train__c27__user1__5-1-2,time_shuffle,0.8530579373630944
2d,train__c27__user1__5-1-2,left_right_swap,0.7044787381975611
2d,train__c27__user1__5-1-3,positive_same_trial,0.8548459292603873
2d,train__c27__user1__5-1-3,same_action_other_trial,0.8431010259056119
2d,train__c27__user1__5-1-3,different_action,0.7265353453995349
2d,train__c27__user1__5-1-3,time_shuffle,0.849578760597579
2d,train__c27__user1__5-1-3,left_right_swap,0.678958830896552
2d,train__c29__user1__1-1-1,positive_same_trial,0.8762361912256662
2d,train__c29__user1__1-1-1,same_action_other_trial,0.6692679055974201
2d,train__c29__user1__1-1-1,different_action,0.6115053753563954
2d,train__c29__user1__1-1-1,time_shuffle,0.7870705291425478
2d,train__c29__user1__1-1-1,left_right_swap,0.814203541119267
2d,train__c29__user1__1-1-2,positive_same_trial,0.8874013750413854
2d,train__c29__user1__1-1-2,same_action_other_trial,0.7691285398593763
2d,train__c29__user1__1-1-2,different_action,0.7044856242516115
2d,train__c29__user1__1-1-2,time_shuffle,0.7709705582194301
2d,train__c29__user1__1-1-2,left_right_swap,0.8379534357203867
2d,train__c29__user1__1-1-3,positive_same_trial,0.8444695641560152
2d,train__c29__user1__1-1-3,same_action_other_trial,0.7350191011068979
2d,train__c29__user1__1-1-3,different_action,0.661991496642979
2d,train__c29__user1__1-1-3,time_shuffle,0.756292136752403
2d,train__c29__user1__1-1-3,left_right_swap,0.7985503237324061
2d,train__c29__user1__3-2-1,positive_same_trial,0.8717138334540518
2d,train__c29__user1__3-2-1,same_action_other_trial,0.7501603650767661
2d,train__c29__user1__3-2-1,different_action,0.6670484417880256
2d,train__c29__user1__3-2-1,time_shuffle,0.7391053796655289
